Global Volcanism Program - Volcanoes of the World 5.2.1,,,List of Volcanoes of the World for VAAC Use,,Downloaded on 16 Jul 2024 at 09:13 AM,,,,,,,,,,
VolcanoNumber,VolcanoNumber_Old,VolcanoName,State,VolcanicSubregion,SummitElevM,LatitudeNS,LatitudeDegrees,LatitudeMinutes,LatitudeSeconds,LongitudeEW,LongitudeDegrees,LongitudeMinutes,LongitudeSeconds,LatitudeDecimal,LongitudeDecimal
223030,0203-03=,NYIRAGONGO,DR Congo,Africa (central),3470,S,1,31,0,E,29,15,0,-1.52,29.25
223040,0203-04-,KARISIMBI,DR Congo-Rwanda,Africa (central),4490,S,1,30,21,E,29,27,1,-1.506,29.45
223050,0203-05-,VISOKE,DR Congo-Rwanda,Africa (central),3696,S,1,27,30,E,29,29,7,-1.458,29.485
223060,0203-06-,MUHAVURA,Uganda-Rwanda,Africa (central),4103,S,1,22,58,E,29,40,41,-1.383,29.678
223070,0203-07-,BUFUMBIRA,Uganda,Africa (central),2100,S,1,18,15,E,29,41,0,-1.304,29.683
224002,0204-002,SAN CARLOS,Equatorial Guinea,Africa (western),2260,N,3,21,0,E,8,31,0,3.35,8.52
224003,0204-003,SAN JOAQUIN,Equatorial Guinea,Africa (western),2009,N,3,21,0,E,8,38,0,3.35,8.63
224004,0204-004,SANTA ISABEL,Equatorial Guinea,Africa (western),2999,N,3,35,18,E,8,45,42,3.588,8.762
224010,0204-01=,CAMEROON,Cameroon,Africa (western),4095,N,4,12,12,E,9,10,12,4.203,9.17
224011,0204-011,TOMBEL GRABEN,Cameroon,Africa (western),500,N,4,45,30,E,9,43,0,4.758,9.717
224030,0204-03-,OKU VOLCANIC FIELD,Cameroon,Africa (western),3011,N,6,15,0,E,10,30,0,6.25,10.5
225001,0205-001,TODRA VOLCANIC FIELD,Niger,Africa (northern),1780,N,17,41,0,E,8,30,0,17.68,8.5
225004,0205-004,TAHALRA VOLCANIC FIELD,Algeria,Africa (northern),1467,N,22,40,0,E,5,0,0,22.67,5
225005,0205-005,ATAKOR VOLCANIC FIELD,Algeria,Africa (northern),2918,N,23,20,0,E,5,50,0,23.33,5.83
225006,0205-006,MANZAZ VOLCANIC FIELD,Algeria,Africa (northern),1672,N,23,55,0,E,5,50,0,23.92,5.83
225009,0205-009,TARSO TOH,Chad,Africa (northern),2000,N,21,20,0,E,16,20,0,21.33,16.33
225010,0205-01=,TARSO TOUSSIDE,Chad,Africa (northern),3265,N,21,2,0,E,16,27,0,21.03,16.45
225020,0205-02=,TARSO VOON,Chad,Africa (northern),3100,N,20,55,0,E,17,17,0,20.92,17.28
225021,0205-021,EMI KOUSSI,Chad,Africa (northern),3415,N,19,48,0,E,18,32,0,19.8,18.53
225030,0205-03-,JEBEL MARRA,Sudan,Africa (northern),3042,N,12,57,0,E,24,16,0,12.95,24.27
225040,0205-04-,KUTUM VOLCANIC FIELD,Sudan,Africa (northern),1779,N,14,34,0,E,25,51,0,14.57,25.85
225050,0205-05-,MEIDOB VOLCANIC FIELD,Sudan,Africa (northern),2000,N,15,19,0,E,26,28,0,15.32,26.47
225060,0205-06-,BAYUDA VOLCANIC FIELD,Sudan,Africa (northern),670,N,18,20,0,E,32,45,0,18.33,32.75
231001,0301-001,"ASH SHAAM, HARRAT",Syria-Jordan-Saudi Arabia,Middle East (western),1100,N,32,20,0,E,37,35,0,32.333,37.583
231040,0301-04-,HARRAT LUNAYYIR,Saudi Arabia,Middle East (southern),1370,N,25,10,0,E,37,45,0,25.17,37.75
231050,0301-05=,HARRAT ITHNAYN,Saudi Arabia,Middle East (southern),1625,N,26,35,0,E,40,12,0,26.58,40.2
231060,0301-06=,HARRAT KHAYBAR,Saudi Arabia,Middle East (southern),2093,N,25,30,0,E,40,0,0,25.5,40
231070,0301-07=,HARRAT RAHAT,Saudi Arabia,Middle East (southern),1744,N,23,5,0,E,39,47,0,23.08,39.78
231071,0301-071,HARRAT KISHB,Saudi Arabia,Middle East (southern),1475,N,22,48,0,E,41,23,0,22.8,41.38
231072,0301-072,HARRAT AL BIRK,Saudi Arabia,Middle East (southern),587,N,18,22,0,E,41,38,0,18.37,41.63
231080,0301-08-,JABAL YAR,Saudi Arabia,Middle East (southern),305,N,17,3,0,E,42,50,0,17.05,42.83
